ticker,date,period_ending,estimate,reported,surprise,surprise%
A,20-NOV-23,Oct 2023,1.34,1.38,0.04,2.99
AA,18-OCT-23,Sep 2023,-1.13,-1.14,-0.01,-0.88
AAL,19-OCT-23,Sep 2023,0.26,0.38,0.12,46.15
AAN,23-OCT-23,Sep 2023,0.06,0.01,-0.05,-83.33
AAON,06-NOV-23,Sep 2023,0.55,0.64,0.09,16.36
AAP,15-NOV-23,Sep 2023,1.42,-0.82,-2.24,-157.75
AAPL,02-NOV-23,Sep 2023,1.39,1.46,0.07,5.04
AAT,24-OCT-23,Sep 2023,0.55,0.2,-0.35,-63.64
ABBV,27-OCT-23,Sep 2023,2.86,2.95,0.09,3.15
ABCB,26-OCT-23,Sep 2023,1.13,1.16,0.03,2.65
ABG,24-OCT-23,Sep 2023,8.44,8.12,-0.32,-3.79
ABM,13-DEC-23,Oct 2023,0.93,1.01,0.08,8.6
ABNB,01-NOV-23,Sep 2023,2.08,2.39,0.31,14.9
ABR,27-OCT-23,Sep 2023,0.48,0.55,0.07,14.58
ABT,18-OCT-23,Sep 2023,1.1,1.14,0.04,3.64
ABUS,07-NOV-23,Sep 2023,-0.12,-0.12,0.0,0.0
ACA,01-NOV-23,Sep 2023,0.66,0.73,0.07,10.61
ACAD,02-NOV-23,Sep 2023,-0.43,-0.4,0.03,6.98
ACCD,04-OCT-23,Aug 2023,-0.56,-0.43,0.13,23.21
ACCO,02-NOV-23,Sep 2023,0.23,0.24,0.01,4.35
ACDC,09-NOV-23,Sep 2023,0.11,-0.09,-0.2,-181.82
ACEL,07-NOV-23,Sep 2023,0.16,0.22,0.06,37.5
ACET,08-NOV-23,Sep 2023,-0.73,-0.71,0.02,2.74
ACGL,30-OCT-23,Sep 2023,1.54,2.31,0.77,50.0
ACHC,02-NOV-23,Sep 2023,0.88,0.91,0.03,3.41
ACHR,09-NOV-23,Sep 2023,-0.3,-0.29,0.01,3.33
ACI,17-OCT-23,Aug 2023,0.57,0.63,0.06,10.53
ACLS,01-NOV-23,Sep 2023,1.73,1.99,0.26,15.03
ACLX,13-NOV-23,Sep 2023,-0.56,-0.81,-0.25,-44.64
ACM,13-NOV-23,Sep 2023,1.01,1.01,0.0,0.0
ACMR,07-NOV-23,Sep 2023,0.35,0.57,0.22,62.86
ACN,28-SEP-23,Aug 2023,2.62,2.71,0.09,3.44
ACNB,27-OCT-23,Sep 2023,1.04,1.06,0.02,1.92
ACRE,03-NOV-23,Sep 2023,0.23,0.25,0.02,8.7
ACRS,06-NOV-23,Sep 2023,-0.48,-0.41,0.07,14.58
ACT,01-NOV-23,Sep 2023,0.86,1.02,0.16,18.6
ACVA,06-NOV-23,Sep 2023,-0.07,-0.02,0.05,71.43
ADBE,14-SEP-23,Aug 2023,3.97,4.09,0.12,3.02
ADC,24-OCT-23,Sep 2023,0.98,0.41,-0.57,-58.16
ADI,21-NOV-23,Oct 2023,2.01,2.01,0.0,0.0
ADM,24-OCT-23,Sep 2023,1.5,1.63,0.13,8.67
